"lottery_id","lottery_name","development_type","reporting_construction_type","unit_count","hpd_building_id","hc_building_id","house_number","street_name","borough","unit_distribution_studio","unit_distribution_1bed","unit_distribution_2bed","unit_distribution_3bed","unit_distribution_4bed","applied_income_ami_ext_low","applied_income_ami_very_low","applied_income_ami_low","applied_income_ami_moderate","applied_income_ami_middle","applied_income_ami_above","address_zipcode","address_latitude","address_longitude","address_communitydistrict","address_citycouncildistrict","address_buildingidentificationnumber","address_bbl","address_censustrack2020","address_nta2020"
"3213","101 Varet Street Apartments","Rental","New Construction","3","386465","4723","101","VARET STREET","BK","2","1",,,,,,,,"3",,"11206","40.703174","-73.941371","301","34","3071522","3031060029","491","BK0104"
"2299","Roosevelt Apartments Phase I","Rental","New Construction","2","998987","3837","108-55","ROOSEVELT AVENUE","QN",,"2",,,,,,,,"2",,"11368","40.750871","-73.858277","403","21","4619680","4017807505","40102","QN0303"
"7429","18-15 Linden Street - Units Still Available","Rental","New Construction","1","0","7893","18-15","Linden St","QN",,,"1",,,,,,,"1",,"11385","40.704015","-73.908852","405","34","4602514","4034390052","547","QN0502"
"3402","41-25 149th Place","Rental","New Construction","3","0","5860","42-41","149th Pl","QN",,,"3",,,,,,,"3",,"11355","40.759618","-73.813499","407","20",,,"1187","QN0705"
"5331","372 East 194th Street Apartments","Rental","New Construction","7","976785","7077","372","EAST 194 STREET","BX",,"6","1",,,,,,,"7",,"10458","40.86361","-73.890419","207","15","2016341","2032760031","39901","BX0701"
"7379","The Hana","Rental","New Construction","12",,"7845","45-10","215th Place","QN","6","5","1",,,,,,,"12",,"11361","40.760054","-73.766445","411","19","4000000","4073340070","1471","QN1102"
"7463","325 Bond Street Apartments","Rental","New Construction","153","0","7925","325","Bond St","BK","37","78","38",,,,"68","54","26","5",,"11231","40.679405","-73.989912","306","39","3000000","3004380001","75","BK0601"
"3861","2454 East 15th Street Apartments","Rental","New Construction","3","245576","6188","2454","EAST 15 STREET","BK",,"2","1",,,,,,,"3",,"11235","40.591069","-73.954942","315","48","3254241","3074160028","590","BK1503"
"2823","1232 50th Street Apartments","Rental","New Construction","3","154006","4160","1232","50 STREET","BK",,,"3",,,,,,,"3",,"11219","40.635264","-73.994041","312","44","3138035","3056480020","220","BK1202"
"2178","348 Nostrand Avenue - Units Still Available","Rental","New Construction","2","996472","3701","348","NOSTRAND AVENUE","BK",,"2",,,,,,,,"2",,"11216","40.687832","-73.951073","303","36","3426326","3017970059","243","BK0301"
"7437","779 East 181 Street Apartments","Rental","New Construction","3","0","7888","779","E 181st St","BX",,"3",,,,,,"3",,,,"10460","40.84756","-73.88535","206","15",,,"371","BX0602"
"3384","200 Montague Street Apartments","Rental","New Construction","38","994100","5840","200","MONTAGUE STREET","BK","8","18","8","4",,,,"1",,"37",,"11201","40.693903","-73.991129","302","33","3002107","3002500039","9","BK0201"
"7402","815 Kings Highway Apartments","Rental","New Construction","8","0","7862","815","Kings Hwy","BK",,,"8",,,,,,,"8",,"11223","40.606556","-73.964397","315","44","3000000","3066650014","418","BK1501"
"7393","449 Humboldt Street Apartments","Rental","New Construction","2","955521","7855","449","HUMBOLDT STREET","BK",,"2",,,,,,"2",,,,"11211","40.717906","-73.94324399999999","301","34","3322790","3027400024","497","BK0104"
"7474","Las Raices Apartments","Rental","New Construction","38","0","7945","1761","Park Ave","MN","7","19","12",,,,"21","17",,,,"10035","40.803258","-73.940329","111","09","1000000","1017710001","196","MN1102"
"2889","601 West 29th Street Apartments","Rental","New Construction","235","1005800","4184","601","W 29th St","MN","38","159","38",,,,"94","94","47",,,"10001","40.752825","-74.004681","104","03","1091671","1006750012","9902","MN0401"
"3008","4435 White Plain Road Apartments","Rental","New Construction","27","1007103","4550","4435","White Plains Rd","BX","11","15","1",,,,,,,"27",,"10470","40.899163","-73.853714","212","11","2129638","2050690045","414","BX1203"
"2530","2110 Hughes Avenue Apartments","Rental","New Construction","3","927554","3925","2110","Hughes Ave","BX",,"3",,,,,,,,"3",,"10457","40.849398","-73.890168","206","15","2127264","2030810006","373","BX0602"
"3460","30-41 31st Street Apartments","Rental","New Construction","3","1007039","5908","30-41","31 STREET","QN",,"2","1",,,,,,,"3",,"11102","40.765951","-73.922139","401","22","4008477","4006150020","63","QN0103"
"7351","2721 Colden Avenue Apartments","Rental","New Construction","13","0","7808","2721","Colden Ave","BX","2","8","3",,,,,"13",,,,"10469","40.866003","-73.859608","211","13","2000000","2045160046","342","BX1104"
"3650","CASA CELINA SENIOR","Rental","New Construction","134","120184","5974","1810","WATSON AVENUE","BX","106","28",,,,,"134",,,,,"10472","40.827858","-73.864953","209","18","2102921","2037300001","44","BX0901"
"1853","91 Franklin Avenue Apartments","Rental","New Construction","3","998273","3419","91","Franklin Ave","BK",,"1",,"2",,,,,,"3",,"11205","40.69605","-73.958319","303","33","3425883","3018990024","1237","BK0301"
"2069","Hooper Street Apartments","Rental","New Construction","5","313517","3477","293","HOOPER STREET","BK",,,"5",,,,,"5",,,,"11211","40.707299","-73.953894","301","34","3063606","3024630024","527","BK0102"
"2388","The Lois - Units Still Available","Rental","New Construction","52","970944","3768","350","CLARKSON AVENUE","BK","15","23","12","2",,,,,,"52",,"11226","40.655517","-73.94835","317","40","3426069","3048370027","818","BK1701"
